iter	MultiClass
0	3.181121112
1	3.060075491
2	2.942280603
3	2.877229968
4	2.805853253
5	2.73389608
6	2.670267347
7	2.608321898
8	2.565693056
9	2.520978616
10	2.493307234
11	2.462578947
12	2.431298441
13	2.404161801
14	2.3855502
15	2.327846837
16	2.312115029
17	2.268890596
18	2.252332421
19	2.215305039
20	2.188135787
21	2.179339638
22	2.164952921
23	2.156647505
24	2.149810115
25	2.117337362
26	2.101477964
27	2.071511712
28	2.065487032
29	2.035459044
30	2.002981723
31	1.991249898
32	1.985299066
33	1.966147113
34	1.936891987
35	1.91382697
36	1.898052592
37	1.876705462
38	1.854555933
39	1.848658499
40	1.822953471
41	1.814951165
42	1.797842868
43	1.790546176
44	1.780337054
45	1.759121018
46	1.751926953
47	1.732806933
48	1.725147685
49	1.718451708
50	1.703043852
51	1.688765357
52	1.670200822
53	1.663014338
54	1.653931471
55	1.650181205
56	1.636064054
57	1.629712847
58	1.61974482
59	1.612203466
60	1.59566315
61	1.579431533
62	1.57172015
63	1.567593858
64	1.555350332
65	1.550739595
66	1.534908248
67	1.523498336
68	1.520636202
69	1.511070981
70	1.502537238
71	1.497746814
72	1.487057471
73	1.481396782
74	1.475188912
75	1.461945878
76	1.453317936
77	1.445387713
78	1.440827983
79	1.427063667
80	1.419576702
81	1.415063032
82	1.413117209
83	1.40477741
84	1.39886635
85	1.391534597
86	1.382925481
87	1.370310987
88	1.362631771
89	1.35843047
90	1.356348603
91	1.351348796
92	1.347224207
93	1.341778531
94	1.338787811
95	1.328247491
96	1.323838427
97	1.320137666
98	1.316081166
99	1.310730826
100	1.309136812
101	1.306356132
102	1.297889152
103	1.292609479
104	1.286071834
105	1.281150775
106	1.279044432
107	1.272693455
108	1.265788446
109	1.259754345
110	1.243829542
111	1.234027228
112	1.230256433
113	1.223598491
114	1.216786425
115	1.211691758
116	1.203302127
117	1.199978675
118	1.185405245
119	1.179018028
120	1.175389262
121	1.170689046
122	1.169117232
123	1.164278149
124	1.160134939
125	1.158846015
126	1.152045443
127	1.148786579
128	1.142065537
129	1.138930375
130	1.136333819
131	1.129938882
132	1.12398264
133	1.118147014
134	1.113575765
135	1.10781392
136	1.104892789
137	1.09606999
138	1.092485707
139	1.085842805
140	1.08291452
141	1.079742177
142	1.07843094
143	1.075298118
144	1.07105742
145	1.065732644
146	1.062104591
147	1.058317453
148	1.05223423
149	1.051006079
150	1.047903172
151	1.044824093
152	1.041465798
153	1.03973599
154	1.037708975
155	1.031109103
156	1.027936173
157	1.02361593
158	1.019729684
159	1.017461544
160	1.015539353
161	1.011055133
162	1.009673999
163	1.004145682
164	1.001487729
165	0.9952336601
166	0.9923640462
167	0.9903670151
168	0.9886857374
169	0.9856751138
170	0.981201785
171	0.9790645162
172	0.9705920604
173	0.9675595766
174	0.9651106188
175	0.9614236408
176	0.9553570062
177	0.9519817066
178	0.9501376059
179	0.9463640867
180	0.9444414788
181	0.9389338917
182	0.9348685267
183	0.9320163251
184	0.9293172912
185	0.9267426117
186	0.9228287149
187	0.9208489001
188	0.9193668175
189	0.9179732569
190	0.916238325
191	0.9077629813
192	0.9040520336
193	0.900583834
194	0.8982609811
195	0.8948012081
196	0.8916102065
197	0.8888126349
198	0.8852880553
199	0.8808025291
200	0.8784827502
201	0.8769624888
202	0.8753732869
203	0.872714533
204	0.8713377375
205	0.8688036397
206	0.8662037824
207	0.8634206774
208	0.8599982715
209	0.8562547534
210	0.8540281736
211	0.8519784809
212	0.8496770478
213	0.8476966818
214	0.8451860216
215	0.8423666451
216	0.8397321688
217	0.8366259038
218	0.8355786054
219	0.8329567102
220	0.831088136
221	0.8298711176
222	0.8277786873
223	0.821857094
224	0.8180620631
225	0.8130380062
226	0.8109323389
227	0.8066222204
228	0.8047143489
229	0.8020726261
230	0.8000859662
231	0.7974049345
232	0.7947049857
233	0.7908253414
234	0.7884545191
235	0.7866842208
236	0.7834944876
237	0.7823196415
238	0.7797110831
239	0.7786551128
240	0.7764379817
241	0.7752218797
242	0.7734170581
243	0.7715056423
244	0.770151996
245	0.7671448316
246	0.7657737634
247	0.7628480142
248	0.7606592985
249	0.759225404
250	0.7568396727
251	0.7533128312
252	0.7515742526
253	0.7494803206
254	0.7464298245
255	0.742507993
256	0.740358318
257	0.7379736083
258	0.7365202758
259	0.7350257644
260	0.7340603518
261	0.7325014129
262	0.7308507477
263	0.7288881013
264	0.7277626555
265	0.7248929782
266	0.7234873802
267	0.721803263
268	0.720867634
269	0.7183179125
270	0.7165640831
271	0.7123387095
272	0.7100999581
273	0.7094612827
274	0.7067624637
275	0.704237916
276	0.7010305736
277	0.6999595609
278	0.6978971845
279	0.6956755255
280	0.6941748608
281	0.6919723454
282	0.6896870126
283	0.6883324185
284	0.685835291
285	0.6830736275
286	0.6808255929
287	0.6790432483
288	0.6767996641
289	0.6757871098
290	0.6744209101
291	0.6727015205
292	0.670597411
293	0.6681111062
294	0.6668327882
295	0.6654271992
296	0.6646216814
297	0.6630021148
298	0.661632082
299	0.6603479456
300	0.6592037784
301	0.6576663971
302	0.6551170986
303	0.6537110518
304	0.6531926023
305	0.6524978834
306	0.6509149932
307	0.6498043255
308	0.647444873
309	0.645579752
310	0.6445182195
311	0.6430310951
312	0.6416970341
313	0.6395995757
314	0.6375881965
315	0.6356901892
316	0.6350172756
317	0.6332543974
318	0.6316435608
319	0.6307768456
320	0.6291052639
321	0.6272281346
322	0.6252994695
323	0.6234717234
324	0.6201221008
325	0.6187336736
326	0.6169175762
327	0.6159769472
328	0.6135799296
329	0.6120185312
330	0.6107181236
331	0.6091014416
332	0.6073938894
333	0.6059293029
334	0.6051050485
335	0.6040443671
336	0.6035397775
337	0.602862863
338	0.601818487
339	0.6000617443
340	0.5969626351
341	0.5954208628
342	0.5944132227
343	0.593047656
344	0.591284042
345	0.5892565982
346	0.5877341471
347	0.5863495202
348	0.5848264359
349	0.5829610427
350	0.5817664837
351	0.5799608717
352	0.5788552286
353	0.5762844352
354	0.5756801333
355	0.574601521
356	0.5730804841
357	0.5720319318
358	0.5693634416
359	0.5684478081
360	0.5668829558
361	0.5657916493
362	0.564257002
363	0.5627112759
364	0.5621611089
365	0.5608630522
366	0.5598576841
367	0.557945175
368	0.5566517582
369	0.5552152714
370	0.5542033253
371	0.55222041
372	0.5505254842
373	0.549460451
374	0.5486093457
375	0.547870051
376	0.5472712549
377	0.5458032606
378	0.5450581893
379	0.5430542187
380	0.5420050709
381	0.541230926
382	0.5399525609
383	0.5388809652
384	0.5374499469
385	0.5360841779
386	0.5351837294
387	0.5341887138
388	0.5331912846
389	0.532619346
390	0.5315813995
391	0.5298579497
392	0.5292096419
393	0.5278877576
394	0.5259433861
395	0.524683699
396	0.5234270855
397	0.5219754678
398	0.5210332136
399	0.5198731908
400	0.5184672239
401	0.5164578662
402	0.5153227973
403	0.5141661116
404	0.5128833706
405	0.5116115061
406	0.5107979773
407	0.5100366571
408	0.5088563696
409	0.5082803618
410	0.5079039907
411	0.5068987533
412	0.5054742796
413	0.5045265837
414	0.5030122669
415	0.502245651
416	0.5014758524
417	0.5003547279
418	0.4997228286
419	0.4986623314
420	0.4965824187
421	0.4955023715
422	0.4939936946
423	0.4928115303
424	0.4913836564
425	0.4899920464
426	0.489356346
427	0.4888796288
428	0.4881572848
429	0.4872740695
430	0.4859692958
431	0.4853145803
432	0.4841167907
433	0.4835955708
434	0.4828999049
435	0.4813451048
436	0.4803618826
437	0.4791838988
438	0.4778847667
439	0.4770228967
440	0.4756124588
441	0.4748109978
442	0.4736602209
443	0.4729600475
444	0.4724044512
445	0.4715598774
446	0.470319638
447	0.4693663643
448	0.4683765029
449	0.4673661758
450	0.4663847067
451	0.4657072239
452	0.4647755295
453	0.4643418895
454	0.4634049628
455	0.462282845
456	0.4609872465
457	0.4600057446
458	0.4586605804
459	0.4571451053
460	0.4563064847
461	0.4548565558
462	0.4539261577
463	0.4527811843
464	0.4515822488
465	0.4503737422
466	0.4491936701
467	0.4476612253
468	0.4468958199
469	0.4459604928
470	0.4451710317
471	0.444761766
472	0.4436218846
473	0.4426054936
474	0.4421760646
475	0.4416743784
476	0.4409216689
477	0.4401150772
478	0.4390408874
479	0.4383878253
480	0.4375717297
481	0.436878533
482	0.4357585502
483	0.4346894458
484	0.4328385639
485	0.4321840663
486	0.4310943255
487	0.4304973085
488	0.4299586584
489	0.4295902802
490	0.4292215774
491	0.4286921733
492	0.4280007538
493	0.4270368506
494	0.4262456416
495	0.4256784778
496	0.4247098496
497	0.4236641602
498	0.4227960451
499	0.4219875604
500	0.4205982611
501	0.4194510091
502	0.4186262926
503	0.4177168594
504	0.4169405556
505	0.4164564943
506	0.4157457614
507	0.4148067756
508	0.4140650935
509	0.4126979346
510	0.4120366984
511	0.4114294755
512	0.4102478694
513	0.409563673
514	0.4086275647
515	0.4077769372
516	0.4069515138
517	0.4063830559
518	0.405991787
519	0.4053476843
520	0.4041084252
521	0.4033739055
522	0.4025985361
523	0.4019013678
524	0.3994759699
525	0.3987478989
526	0.3980547222
527	0.3975578517
528	0.396579875
529	0.3957027336
530	0.395166105
531	0.3943340655
532	0.3938706251
533	0.3929993762
534	0.3919967281
535	0.391129815
536	0.3908253959
537	0.3898908372
538	0.3893837734
539	0.3884028222
540	0.3874793043
541	0.3866301175
542	0.3860797947
543	0.3850049676
544	0.3838785494
545	0.3831744697
546	0.382117099
547	0.3813653414
548	0.3805150235
549	0.3791928356
550	0.3777448143
551	0.3766561277
552	0.3763215234
553	0.3755160168
554	0.3743321262
555	0.3737967707
556	0.3729028616
557	0.3720703401
558	0.3716270477
559	0.3709569727
560	0.3706731011
561	0.3700318064
562	0.3693809853
563	0.3684889402
564	0.3677379886
565	0.3672322458
566	0.3664936753
567	0.3658632787
568	0.3649628451
569	0.3642349414
570	0.3637705866
571	0.3634171118
572	0.3627310115
573	0.3618281468
574	0.3609150749
575	0.3598400085
576	0.3592230496
577	0.3586174481
578	0.358032385
579	0.3571574586
580	0.3565887834
581	0.3560802955
582	0.3554971997
583	0.3551952744
584	0.3544722207
585	0.3540694798
586	0.353691799
587	0.3532297686
588	0.3524735476
589	0.3511275019
590	0.3506668994
591	0.3498047678
592	0.3492734826
593	0.348778609
594	0.3477170875
595	0.3469911148
596	0.3461456995
597	0.3457012617
598	0.345037325
599	0.3445884084
600	0.3439058777
601	0.343390624
602	0.3427510651
603	0.3420728986
604	0.3414481242
605	0.3404308361
606	0.3400609745
607	0.3391700299
608	0.3386460824
609	0.3377509977
610	0.3360753504
611	0.3356236359
612	0.3350621131
613	0.3347128704
614	0.3341933833
615	0.3333382871
616	0.3325393172
617	0.3321162046
618	0.3312622216
619	0.3310183813
620	0.330453699
621	0.3294048796
622	0.3287946823
623	0.328487675
624	0.3280566619
625	0.3275469424
626	0.3269293661
627	0.3264620525
628	0.3258142124
629	0.3248831132
630	0.3242897732
631	0.3239050587
632	0.3235980463
633	0.3228278901
634	0.3220686343
635	0.3216710636
636	0.3212434007
637	0.3206572608
638	0.3202568145
639	0.3197434283
640	0.3193257473
641	0.3188270815
642	0.3183432829
643	0.3174005435
644	0.317149211
645	0.3158246453
646	0.3153128308
647	0.314944432
648	0.3143141521
649	0.3137466492
650	0.3134958036
651	0.3121045692
652	0.3114796519
653	0.3101910123
654	0.3099423152
655	0.309444003
656	0.3090821625
657	0.3088139199
658	0.3081678172
659	0.3077212638
660	0.3067325999
661	0.3063403872
662	0.3061331591
663	0.305646668
664	0.3051073028
665	0.3047395214
666	0.3040753511
667	0.3035603843
668	0.3029551038
669	0.3019360617
670	0.3013775498
671	0.3011593082
672	0.3007266461
673	0.3000384209
674	0.2996450821
675	0.2992019759
676	0.2987274937
677	0.2983589251
678	0.2975007085
679	0.2968129747
680	0.2961480113
681	0.2949061647
682	0.2943717253
683	0.2939087606
684	0.2935023472
685	0.2932576861
686	0.2926948619
687	0.2919500902
688	0.2914140598
689	0.291030057
690	0.290592033
691	0.2899639859
692	0.2894916568
693	0.2890810194
694	0.2886275365
695	0.2881874262
696	0.2877267244
697	0.2873508311
698	0.2869909592
699	0.2864635038
700	0.2860691582
701	0.2856249942
702	0.2850019319
703	0.2846705194
704	0.2843849186
705	0.2837640506
706	0.2831629174
707	0.282681794
708	0.2821405536
709	0.2818269661
710	0.2812254998
711	0.2805630494
712	0.2801297315
713	0.2792788946
714	0.2790510222
715	0.2784760649
716	0.2782955907
717	0.2778674491
718	0.277397863
719	0.2770160426
720	0.2767371729
721	0.2763608517
722	0.2757414541
723	0.2744630954
724	0.2737469542
725	0.2733671345
726	0.2726805699
727	0.2722069979
728	0.2718779192
729	0.2713878982
730	0.2709795019
731	0.2705155822
732	0.2700779338
733	0.2698636979
734	0.2693849346
735	0.2690945693
736	0.2684674001
737	0.2680964354
738	0.2677020333
739	0.2672381885
740	0.2670376084
741	0.2668369708
742	0.2663068315
743	0.265946764
744	0.2655246681
745	0.2650609076
746	0.2647160838
747	0.2642901907
748	0.2641120669
749	0.2637428288
750	0.2633509441
751	0.2630020875
752	0.2626499132
753	0.2621636098
754	0.2618144732
755	0.2613060743
756	0.2604344191
757	0.2598208678
758	0.2592117909
759	0.2587102397
760	0.2583616882
761	0.2581699753
762	0.2579897648
763	0.2574662607
764	0.2571344603
765	0.2568963616
766	0.2565966522
767	0.25619247
768	0.2559137148
769	0.2555429529
770	0.2545098189
771	0.2542235328
772	0.2537265678
773	0.2534160813
774	0.2531414681
775	0.2528115651
776	0.2521736226
777	0.2516766023
778	0.2513731167
779	0.250814044
780	0.2502574523
781	0.2499273741
782	0.2495677591
783	0.249224675
784	0.2488708415
785	0.2485758521
786	0.2482256012
787	0.2476440087
788	0.2472128231
789	0.2469346915
790	0.2467767222
791	0.2464728381
792	0.2460490172
793	0.2455674319
794	0.2451451836
795	0.2447751485
796	0.2442687785
797	0.2429252376
798	0.2421933232
799	0.2418130913
800	0.2415815672
